doc1,doc2,positive_edges,negative_edges,total_edges
0002,0474,1,0,1
0003,0093,2,0,2
0003,0196,2,0,2
0000,0474,1,0,1
0007,0017,0,1,1
0005,0032,0,1,1
0005,0058,0,1,1
0002,0021,1,1,2
0003,0260,1,0,1
0006,0065,1,0,1
0003,0044,1,0,1
0006,0059,1,0,1
0000,0157,1,0,1
0006,0343,1,0,1
0004,0041,1,0,1
0009,0009,1,0,1
0003,0086,1,0,1
0004,0165,1,0,1
0003,0230,1,0,1
0008,0122,1,0,1
0015,0467,1,0,1
0015,0058,1,0,1
0015,0032,1,0,1
0000,0123,1,0,1
0006,0018,0,1,1
TOTAL,,656,138,794
